id,experiences_offered,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
17158,none,48673,Elaine,2009-10-27,"Vancouver, British Columbia, Canada",within a day,100%,N/A,f,Renfrew-Collingwood,1,1,t,t,"Vancouver, BC, Canada",Renfrew-Collingwood,Renfrew-Collingwood,,Vancouver,BC,V5M 2V4,Vancouver,"Vancouver, Canada",CA,Canada,49.25195425,-123.0355008,t,House,Entire home/apt,8,3,4,4,Real Bed,0,135.00,725.00,2500.00,500.00,95.00,1,$0.00 ,4,29,4,4,29,29,4,29,3 months ago,t,0,0,0,124,2019-02-06,5,1,2011-05-06,2018-03-31,100,10,10,10,10,10,10,t,18-573474,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.05
17765,none,68672,James,2010-01-07,"Vancouver, British Columbia, Canada",within a day,100%,N/A,f,Mount Pleasant,1,1,t,f,"Vancouver, BC, Canada",Mount Pleasant,Mount Pleasant,,Vancouver,BC,V5Y,Vancouver,"Vancouver, Canada",CA,Canada,49.26180792,-123.109049,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,,98.00,,,300.00,40.00,1,$0.00 ,3,60,3,3,60,60,3,60,6 weeks ago,t,0,0,5,5,2019-02-06,172,41,2012-10-01,2019-01-03,93,10,9,10,10,10,10,t,18-576625,f,f,strict_14_with_grace_period,f,f,1,1,0,0,2.22
18270,none,70437,Ran,2010-01-14,"Vancouver, British Columbia, Canada",within a day,100%,N/A,f,Mount Pleasant,2,2,t,t,"Vancouver, BC, Canada",Mount Pleasant,Mount Pleasant,,Vancouver,BC,V5T,Vancouver,"Vancouver, Canada",CA,Canada,49.26564039,-123.0952401,t,Condominium,Private room,2,1,1,1,Real Bed,0,55.00,350.00,1200.00,500.00,10.00,1,$10.00 ,30,1125,30,30,1125,1125,30,1125,today,t,30,60,90,365,2019-02-06,117,1,2011-03-17,2018-10-31,91,9,8,9,9,9,9,t,,f,f,strict_14_with_grace_period,f,f,2,0,2,0,1.22
18589,none,71508,Sylvain & Alexis,2010-01-18,"Vancouver, British Columbia, Canada",within a few hours,97%,N/A,t,Commercial Drive,1,1,t,f,"Vancouver, BC, Canada",Commercial Drive,Grandview-Woodland,,Vancouver,BC,V5L 2N1,Vancouver,"Vancouver, Canada",CA,Canada,49.2742743,-123.070628,t,House,Private room,4,1,2,2,Real Bed,,80.00,550.00,2000.00,0.00,0.00,2,$20.00 ,1,30,1,1,30,30,1,30,5 days ago,t,2,16,26,36,2019-02-06,318,54,2011-06-06,2019-02-02,100,10,10,10,10,10,10,t,19-161198,f,f,strict_14_with_grace_period,f,f,1,0,1,0,3.4
18795,none,70137,Kai,2010-01-13,"Vancouver, British Columbia, Canada",within a day,73%,N/A,f,West End,3,3,t,t,"Vancouver, BC, Canada",West End,West End,,Vancouver,BC,V6E,Vancouver,"Vancouver, Canada",CA,Canada,49.28251202,-123.1282693,t,House,Private room,2,1,1,1,Real Bed,,94.00,500.00,1600.00,100.00,15.00,2,$21.00 ,3,365,3,3,365,365,3,365,2 weeks ago,t,25,50,73,328,2019-02-06,99,16,2011-04-30,2019-01-02,90,9,9,9,10,10,9,t,18-573700,f,f,strict_14_with_grace_period,f,f,3,0,3,0,1.05
19527,none,74129,Bevin,2010-01-27,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Kitsilano,1,1,t,t,"Vancouver, BC, Canada",Fairview,Fairview,,Vancouver,BC,V6H 1N7,Vancouver,"Vancouver, Canada",CA,Canada,49.26117221,-123.1353542,f,Apartment,Entire home/apt,2,1,1,1,Real Bed,500,108.00,,1450.00,300.00,60.00,1,$18.00 ,1,14,1,1,14,14,1,14,a week ago,t,18,48,77,77,2019-02-06,19,16,2010-02-25,2018-09-07,92,9,9,9,10,10,9,t,19-183636,f,f,flexible,f,f,1,1,0,0,0.17
20085,none,75986,Tony And Rachel,2010-01-31,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Mount Pleasant,1,1,t,f,"Vancouver, BC, Canada",Mount Pleasant,Mount Pleasant,,Vancouver,BC,V5T 2V6,Vancouver,"Vancouver, Canada",CA,Canada,49.25732203,-123.0854536,t,Guest suite,Entire home/apt,3,1,2,2,Real Bed,,110.00,625.00,1700.00,500.00,100.00,2,$25.00 ,30,365,30,30,365,365,30,365,3 weeks ago,t,0,0,2,193,2019-02-06,71,3,2010-02-22,2019-01-17,95,10,10,10,10,9,9,t,Exempt,f,f,moderate,f,f,1,1,0,0,0.65
20566,none,77672,Shona,2010-02-04,"Vancouver, British Columbia, Canada",within a day,100%,N/A,t,Downtown Vancouver,1,1,t,f,"Vancouver, BC, Canada",Downtown Vancouver,West End,,Vancouver,BC,V6Z 2S1,Vancouver,"Vancouver, Canada",CA,Canada,49.28218792,-123.1250276,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,614,230.00,1247.00,3871.00,,66.00,2,$66.00 ,3,730,3,3,730,730,3,730,2 weeks ago,t,11,11,11,143,2019-02-06,42,11,2010-02-17,2019-01-02,95,10,10,10,10,10,9,t,19-162274,f,f,flexible,f,f,1,1,0,0,0.38
21912,none,83871,Adam,2010-02-22,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Renfrew-Collingwood,3,3,t,f,"Vancouver, BC, Canada",,Renfrew-Collingwood,,Vancouver,BC,V5R 2V8,Vancouver,"Vancouver, Canada",CA,Canada,49.23365089,-123.0543941,t,House,Private room,2,1,1,1,Real Bed,,50.00,,,0.00,25.00,2,$15.00 ,2,750,2,2,750,750,2,750,4 weeks ago,t,0,16,43,312,2019-02-06,282,4,2011-07-09,2019-01-29,94,9,9,10,9,9,9,t,19-162904,t,f,strict_14_with_grace_period,f,f,3,1,2,0,3.05
21913,none,83871,Adam,2010-02-22,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Renfrew-Collingwood,3,3,t,f,"Vancouver, BC, Canada",Renfrew-Collingwood,Renfrew-Collingwood,,Vancouver,BC,V5R 2V8,Vancouver,"Vancouver, Canada",CA,Canada,49.2342708,-123.0530922,t,House,Entire home/apt,2,1,1,1,Real Bed,,66.00,,1200.00,0.00,30.00,2,$15.00 ,30,600,1,30,600,600,13.9,600,3 weeks ago,t,0,5,11,201,2019-02-06,196,20,2011-11-16,2018-12-27,94,9,10,10,10,9,9,t,18-606702,t,f,strict_14_with_grace_period,f,f,3,1,2,0,2.23
24273,none,1267409,Julia,2011-10-09,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Kitsilano,2,2,t,f,"Vancouver, BC, Canada",,Kitsilano,,Vancouver,BC,V6K 2M8,Vancouver,"Vancouver, Canada",CA,Canada,49.26259942,-123.1730784,t,Apartment,Entire home/apt,6,1,2,3,Real Bed,,300.00,,,500.00,80.00,4,$50.00 ,2,365,2,7,365,365,3.6,365,today,t,0,0,0,0,2019-02-06,6,5,2013-06-01,2018-12-31,100,10,10,10,10,10,9,t,19-161 068,f,f,strict_14_with_grace_period,f,f,2,2,0,0,0.09
26047,none,109845,Alicia,2010-04-17,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,f,Downtown Vancouver,3,3,t,f,"Vancouver, BC, Canada",Downtown Vancouver,Downtown,,Vancouver,BC,V6Z,Vancouver,"Vancouver, Canada",CA,Canada,49.27933433,-123.1237735,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,,159.00,1035.00,2490.00,1000.00,151.00,2,$15.00 ,30,365,30,30,365,365,30,365,4 weeks ago,t,7,37,67,284,2019-02-06,30,11,2011-07-04,2018-10-11,95,10,9,10,10,10,9,t,,t,f,strict_14_with_grace_period,f,f,3,3,0,0,0.32
26234,none,109845,Alicia,2010-04-17,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,f,Downtown Vancouver,3,3,t,f,"Vancouver, BC, Canada",Downtown Vancouver,Downtown,,Vancouver,BC,V6B,Vancouver,"Vancouver, Canada",CA,Canada,49.27755196,-123.1248665,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,,169.00,1175.00,2700.00,1000.00,250.00,2,$20.00 ,30,730,30,30,730,730,30,730,a week ago,t,0,0,0,4,2019-02-06,6,4,2017-02-10,2018-08-31,90,10,9,9,9,10,9,t,,t,f,strict_14_with_grace_period,f,f,3,3,0,0,0.25
35304,none,151996,Howie And Lisa,2010-06-25,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,f,Commercial Drive,1,1,t,t,"Vancouver, BC, Canada",Commercial Drive,Grandview-Woodland,,Vancouver,BC,V5L 2H3,Vancouver,"Vancouver, Canada",CA,Canada,49.27351142,-123.0694459,t,House,Entire home/apt,2,1,1,1,Real Bed,,98.00,,,259.00,,1,$10.00 ,2,30,2,4,30,30,2.5,30,today,t,10,35,53,291,2019-02-06,356,49,2010-08-14,2019-01-27,94,10,10,10,10,10,10,t,18-549679,f,f,strict_14_with_grace_period,t,t,1,1,0,0,3.45
42645,none,109845,Alicia,2010-04-17,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,f,Downtown Vancouver,3,3,t,f,"Vancouver, BC, Canada",Downtown Vancouver,Downtown,,Vancouver,BC,V6Z 1P6,Vancouver,"Vancouver, Canada",CA,Canada,49.28000765,-123.1247453,t,Condominium,Entire home/apt,4,1,1,2,Real Bed,600,159.00,1010.00,2670.00,1000.00,150.00,2,$15.00 ,30,730,30,30,730,730,30,730,2 months ago,t,29,59,89,178,2019-02-06,28,6,2010-08-17,2018-09-06,96,10,10,9,10,10,9,t,,t,f,strict_14_with_grace_period,f,f,3,3,0,0,0.27
48146,none,219431,Damien,2010-09-01,"Burnaby, British Columbia, Canada",within an hour,100%,N/A,f,Renfrew-Collingwood,1,1,t,f,"Vancouver, BC, Canada",Renfrew-Collingwood,Renfrew-Collingwood,,Vancouver,BC,V5R 6H4,Vancouver,"Vancouver, Canada",CA,Canada,49.23457416,-123.0264407,t,Condominium,Entire home/apt,2,1,1,1,Real Bed,660,98.00,984.00,2952.00,394.00,,2,$26.00 ,30,730,30,30,730,730,30,730,today,t,0,28,58,333,2019-02-06,0,0,,,,,,,,,,t,,f,f,strict_14_with_grace_period,f,f,1,1,0,0,
49736,none,227101,Sarah,2010-09-07,"Vancouver, British Columbia, Canada",N/A,N/A,N/A,f,Kitsilano,1,1,t,f,"Vancouver, BC, Canada",,Kitsilano,,Vancouver,BC,V6J,Vancouver,"Vancouver, Canada",CA,Canada,49.26739798,-123.1463394,t,Condominium,Entire home/apt,2,1,0,1,Real Bed,,1950.00,1015.00,1900.00,500.00,200.00,1,$0.00 ,31,1125,31,31,1125,1125,31,1125,16 months ago,t,29,59,89,363,2019-02-06,9,0,2010-12-25,2016-08-22,98,10,10,10,10,10,10,t,,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.09
54261,none,254337,Edgar,2010-10-05,"Vancouver, British Columbia, Canada",within a day,50%,N/A,f,Downtown Vancouver,2,2,t,f,"Vancouver, BC, Canada",,Downtown,,Vancouver,BC,V6B 2G2,Vancouver,"Vancouver, Canada",CA,Canada,49.27654925,-123.1248469,t,Condominium,Entire home/apt,4,1,1,1,Real Bed,,98.00,,2300.00,1500.00,250.00,2,$25.00 ,90,365,90,90,365,365,90,365,a week ago,t,0,6,36,311,2019-02-06,36,0,2011-05-03,2013-06-20,99,10,10,9,9,10,10,t,,f,f,strict_14_with_grace_period,f,f,2,2,0,0,0.38
68894,none,343195,Trish,2011-01-11,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,f,Grandview-Woodland,2,2,t,f,"Vancouver, BC, Canada",,Grandview-Woodland,,Vancouver,BC,V5N 4T4,Vancouver,"Vancouver, Canada",CA,Canada,49.26705027,-123.0608109,t,House,Entire home/apt,3,2,2,2,Real Bed,850,112.00,1743.00,7470.00,500.00,95.00,2,$45.00 ,3,365,3,5,365,365,3.5,365,a week ago,t,3,29,54,323,2019-02-06,65,9,2011-07-21,2019-01-14,96,10,9,10,10,10,10,t,18-599987,f,f,strict_14_with_grace_period,f,f,2,2,0,0,0.71
70453,none,56709,Samantha Jo,2009-11-23,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Downtown Eastside,1,1,t,f,"Vancouver, BC, Canada",Downtown Eastside,Downtown Eastside,,Vancouver,BC,V6A 2A4,Vancouver,"Vancouver, Canada",CA,Canada,49.27946704,-123.0875209,t,House,Entire home/apt,4,1.5,2,2,Real Bed,1700,300.00,2000.00,4500.00,500.00,120.00,4,$50.00 ,5,30,5,5,30,30,5,30,4 days ago,t,0,0,0,3,2019-02-06,10,6,2015-07-08,2018-10-01,100,10,10,10,10,10,10,t,19-162091,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.23
72659,none,375168,Donna,2011-02-03,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,f,Commercial Drive,1,1,t,t,"Vancouver, BC, Canada",Commercial Drive,Grandview-Woodland,,Vancouver,BC,V5L 2T6,Vancouver,"Vancouver, Canada",CA,Canada,49.27357157,-123.0702397,t,Condominium,Entire home/apt,4,1,2,2,Real Bed,0,210.00,940.00,3500.00,200.00,100.00,2,$25.00 ,7,21,7,7,21,21,7,21,4 weeks ago,t,0,0,0,36,2019-02-06,12,2,2012-12-30,2018-05-23,98,10,10,10,10,10,10,t,18-604685,f,f,moderate,f,f,1,1,0,0,0.16
77157,none,412802,Anne,2011-02-27,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Arbutus Ridge,2,2,t,t,"Vancouver, BC, Canada",Arbutus Ridge,Arbutus Ridge,,Vancouver,BC,V6L 2V7,Vancouver,"Vancouver, Canada",CA,Canada,49.24674556,-123.1671093,t,Guest suite,Private room,3,1,1,2,Real Bed,,98.00,600.00,2000.00,200.00,,3,$10.00 ,1,60,1,1,60,60,1,60,4 weeks ago,t,20,40,51,305,2019-02-06,544,111,2011-03-19,2019-01-20,96,10,10,10,10,10,10,t,18-600975,t,f,moderate,f,f,2,0,2,0,5.66
98242,none,31065,Mj,2009-08-11,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Fraserview,6,6,t,t,"Vancouver, BC, Canada",Fraserview,Sunset,,Vancouver,BC,V5X 4J2,Vancouver,"Vancouver, Canada",CA,Canada,49.22293079,-123.0778516,t,Apartment,Entire home/apt,4,1,0,2,Real Bed,,56.00,,2500.00,1000.00,85.00,2,$10.00 ,31,366,31,31,366,366,31,366,3 days ago,t,0,0,0,59,2019-02-06,464,65,2011-05-25,2018-10-07,96,10,10,10,10,9,10,t,,f,f,strict_14_with_grace_period,f,f,2,2,0,0,4.94
98830,none,520997,Cristina,2011-04-19,"Richmond, British Columbia, Canada",within an hour,100%,N/A,t,Downtown Vancouver,1,1,t,t,"Vancouver, BC, Canada",Downtown Vancouver,Downtown,,Vancouver,BC,V6Z 2R9,Vancouver,"Vancouver, Canada",CA,Canada,49.27981662,-123.1250902,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,0,119.00,,,,65.00,2,$20.00 ,5,365,2,5,365,365,5,365,5 weeks ago,t,7,12,15,49,2019-02-06,240,43,2011-05-10,2019-01-20,98,10,10,10,10,10,10,t,18-550967,t,f,strict_14_with_grace_period,f,f,1,1,0,0,2.54
104346,none,543076,Marie-Line,2011-04-28,"Vancouver, Washington, United States",within an hour,100%,N/A,t,Downtown Eastside,1,1,t,f,"Vancouver, BC, Canada",Downtown Eastside,Downtown Eastside,,Vancouver,BC,V6A 2B9,Vancouver,"Vancouver, Canada",CA,Canada,49.27817605,-123.0891295,t,Townhouse,Entire home/apt,3,1,1,1,Real Bed,,105.00,720.00,2300.00,250.00,85.00,2,$55.00 ,1,150,1,1,150,150,1,150,2 days ago,t,10,31,54,217,2019-02-06,250,57,2013-07-04,2019-01-29,98,10,10,10,10,10,10,t,19-160862,f,f,moderate,f,f,1,1,0,0,3.67
111077,none,569682,Kristina,2011-05-09,"North Vancouver, British Columbia, Canada",N/A,N/A,N/A,t,Grandview-Woodland,1,1,t,t,"Vancouver, BC, Canada",Grandview-Woodland,Grandview-Woodland,,Vancouver,BC,V5N 4T4,Vancouver,"Vancouver, Canada",CA,Canada,49.26726304,-123.0596887,t,Guest suite,Entire home/apt,3,1,2,2,Real Bed,8073,139.00,925.00,3500.00,600.00,75.00,2,$30.00 ,3,365,3,3,365,365,3,365,4 months ago,t,30,60,90,365,2019-02-06,88,15,2011-05-31,2018-09-10,93,10,9,10,10,9,9,t,STR8613765,f,f,moderate,f,f,1,1,0,0,0.94
118513,none,597619,Rozsa,2011-05-17,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,t,Renfrew-Collingwood,2,2,t,t,"Vancouver, BC, Canada",,Renfrew-Collingwood,,Vancouver,BC,V5R 1V5,Vancouver,"Vancouver, Canada",CA,Canada,49.24570719,-123.0478789,t,House,Private room,2,1,1,1,Real Bed,,60.00,365.00,1150.00,250.00,55.00,1,$10.00 ,30,180,30,30,180,180,30,180,3 months ago,t,30,60,90,176,2019-02-06,34,2,2011-08-21,2018-10-01,89,9,10,9,9,9,9,t,,t,f,strict_14_with_grace_period,t,t,2,0,2,0,0.37
125081,none,69746,Serge & Brigitte,2010-01-11,"Vancouver, British Columbia, Canada",within an hour,100%,N/A,t,Commercial Drive,2,2,t,f,"Vancouver, BC, Canada",Commercial Drive,Grandview-Woodland,,Vancouver,BC,V5N 1E6,Vancouver,"Vancouver, Canada",CA,Canada,49.2677213,-123.065508,t,Townhouse,Private room,2,1.5,1,1,Real Bed,,85.00,450.00,1250.00,0.00,30.00,2,$0.00 ,3,21,3,3,21,21,3,21,yesterday,t,9,39,69,298,2019-02-06,160,24,2010-02-27,2019-01-27,96,10,10,10,10,10,10,t,19-161060,f,f,strict_14_with_grace_period,f,t,2,0,2,0,1.47
125176,none,622926,Mark,2011-05-24,"Vancouver, British Columbia, Canada",within an hour,94%,N/A,t,Riley Park,1,1,t,f,"Vancouver, BC, Canada",Riley Park,Riley Park,,Vancouver,BC,V5V 2N4,Vancouver,"Vancouver, Canada",CA,Canada,49.24648209,-123.092413,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,,110.00,675.00,2000.00,,,1,$0.00 ,2,30,2,2,30,30,2,30,5 weeks ago,t,2,6,15,158,2019-02-06,397,89,2011-08-01,2019-02-01,94,10,10,10,9,10,10,t,19-160978,t,f,moderate,f,f,1,1,0,0,4.34
129163,none,597619,Rozsa,2011-05-17,"Vancouver, British Columbia, Canada",within a few hours,100%,N/A,t,Renfrew-Collingwood,2,2,t,t,"Vancouver, BC, Canada",Renfrew-Collingwood,Renfrew-Collingwood,,Vancouver,BC,V5R 1V5,Vancouver,"Vancouver, Canada",CA,Canada,49.24507042,-123.0494075,t,House,Private room,1,1,1,1,Real Bed,,45.00,245.00,820.00,250.00,55.00,1,$0.00 ,30,280,30,30,280,280,30,280,4 months ago,t,0,18,48,323,2019-02-06,49,3,2012-05-10,2018-12-31,90,9,10,9,9,9,9,t,,t,f,strict_14_with_grace_period,t,t,2,0,2,0,0.6
